Phase,Avg_PSNR,StdDev_PSNR,Avg_MAE,StdDev_MAE,Avg_SSIM,StdDev_SSIM
1,65.0640199738433,110.78511597399671,51.361786848588416,24.16624852535696,0.7772331363223499,0.11032468987620975
10,65.06029465062713,110.78652226501714,52.606749439586295,24.759967771811088,0.777849222115381,0.11043599747765055
11,65.09370343487855,110.77406204017822,52.714454489968034,24.736673206638518,0.7783354437733296,0.11021979027320444
12,65.10694468251371,110.76931649078652,52.8285781139027,24.809530107202104,0.7784453393091947,0.1101370508474224
13,65.08856256752775,110.77565645060146,52.811149125532665,24.83888505862185,0.7784943570282408,0.11007603891634588
14,65.08841195310534,110.77550619562167,52.54813799493963,24.720167780047937,0.7786622377084168,0.10996609884107937
15,65.11120528314733,110.76757923788449,52.425180381081326,24.733323523008888,0.7783955128146445,0.11020211678553493
2,65.07284913540842,110.78100884669963,52.33320866255327,24.69893335073444,0.7779427148190045,0.11031873472845234
3,65.06544741951625,110.78415371410604,52.14151043146306,24.660136478358783,0.7781022800390215,0.11038920416370318
4,65.09068241106577,110.77437669524694,52.21527880859375,24.5985303158424,0.7778565472534459,0.11051827691321157
5,65.09259028934507,110.77348674150795,52.28289181241122,24.64377961981982,0.777516035314587,0.11041307717662319
6,65.0804839465831,110.77827209180342,52.4422460271662,24.659639235981526,0.7779087564188005,0.11016362225379234
7,65.0937564656501,110.77375316046373,52.40169296542081,24.650867565100732,0.7778182215695856,0.11022732162020128
8,65.0955763858936,110.77317831827209,52.51020574396307,24.799814905478904,0.7777738047381133,0.1101841496258824
9,65.05456823147611,110.78836501532628,52.55672362726385,24.82029916543484,0.777563057406867,0.11027626287149764
